ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,fisher-price,fisher-avail,fisher-url,sigma-price,sigma-avail,sigma-url
POOL-00026185,"InChI=1S/C5H4BrNO2S/c1-9-4(8)3-2-7-5(6)10-3/h2H,1H3",COC(=O)c1cnc(Br)s1,247.55091916625787,False,['54045-74-8'],0.9852030658,0,"$65.10
Each/1 g",Check Availability,,$40.10/5 G,"Available to ship on March 15, 2023
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/681199
POOL-00005544,"InChI=1S/C5H4BrNO2S/c1-9-5(8)3-4(6)10-2-7-3/h2H,1H3",COC(=O)c1ncsc1Br,247.55091916625787,False,['913836-22-3'],0.9879201717,0,,,,,,
POOL-00025923,"InChI=1S/C5H4BrNO2S/c1-9-4(8)3-2-10-5(6)7-3/h2H,1H3",COC(=O)c1csc(Br)n1,247.55091916625787,False,['170235-26-4'],0.9841919144,0,"$56.70
Each/1 g",Check Availability,,$22.00/1 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h990f9205?context=bbe
POOL-00003576,"InChI=1S/C5H4BrNO2S/c1-9-5(8)4-7-3(6)2-10-4/h2H,1H3",COC(=O)c1nc(Br)cs1,247.55091916625787,False,['1025468-06-7'],0.9855629581,0,,,,$25.30/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh2d6f8eba?context=bbe
POOL-00033178,InChI=1S/C5H6N2O3/c1-3-5(7(8)9)4(2)10-6-3/h1-2H3,Cc1noc(C)c1[N+](=O)[O-],246.3568215166632,False,['1123-49-5'],0.9950904011,0,,,,$52.80/5 G,"Available to ship on March 15, 2023
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/338249
POOL-00034720,"InChI=1S/C5H5BrN2O2S/c1-11(9,10)5-7-2-4(6)3-8-5/h2-3H,1H3",CS(=O)(=O)c1ncc(Br)cn1,345.2500965256255,False,['38275-48-8'],0.9865616491,0,,,,,,
POOL-00043574,"InChI=1S/C5H7NO2S/c1-2-8-5(7)3-9-4-6/h2-3H2,1H3",CCOC(=O)CSC#N,129.40990953421706,False,['5349-28-0'],0.9837898846,0,,,,$134.00/1 MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/ph001910
POOL-00011598,"InChI=1S/C5H4FNO2S/c6-10(8,9)5-3-1-2-4-7-5/h1-4H",O=S(=O)(F)c1ccccn1,307.6796526271106,False,['878376-35-3'],0.9908277606,0,"$274.50
Each of 1/5 g",Check Availability,,,,
POOL-00032629,InChI=1S/C5H3BrN2O2/c6-5-3-4(8(9)10)1-2-7-5/h1-3H,O=[N+]([O-])c1ccnc(Br)c1,263.579792906447,False,['6945-67-1'],0.9947176659,0,,,,$60.80/1 G,"Estimated to ship on April 05, 2023
From MILWAUKEE",https://www.sigmaaldrich.com/US/en/product/aldrich/689610
POOL-00034960,InChI=1S/C5H2BrFN2O2/c6-4-1-3(9(10)11)2-8-5(4)7/h1-2H,O=[N+]([O-])c1cnc(F)c(Br)c1,304.53393375635244,False,['1868-58-2'],0.9887374505,0,"$57.30
Each/1 g",Check Availability,https://www.fishersci.com/shop/products/3-bromo-2-fluoro-5-nitropyridine-97-thermo-scientific/AAH6150003#1868-58-2,$24.20/250 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh95e08157?context=bbe
POOL-00027208,"InChI=1S/C5H5BrN2O2/c1-3-5(4(9)2-6)8-10-7-3/h2H2,1H3",Cc1nonc1C(=O)CBr,245.55091916625787,False,['165066-97-7'],0.9982670722,0,,,,$94.60/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/apolloscientificltd/apo455827151?context=bbe
POOL-00014797,"InChI=1S/C5H7NO2S/c1-4(6-3-9)5(7)8-2/h4H,1-2H3",COC(=O)C(C)N=C=S,151.03698459046726,False,['21055-39-0'],0.9886365421,0,,,,$70.20/100 mg,Ships in 21 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/ena066595857?context=bbe
POOL-00028963,InChI=1S/C5H3BrN2O2/c6-4-1-2-5(7-3-4)8(9)10/h1-3H,O=[N+]([O-])c1ccc(Br)cn1,246.32979290644693,False,['39856-50-3'],0.993229391,0,"$23.10
Each/1 g",Check Availability,,$57.10/5 G,"Only 6 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/520411
POOL-00038793,"InChI=1S/C5H7NO2S/c1-2-8-5(7)3-6-4-9/h2-3H2,1H3",CCOC(=O)CN=C=S,139.89342114105554,False,['24066-82-8'],0.9831818107,0,,,,$87.50/5 G,"Estimated to ship on April 25, 2023
From MILWAUKEE",https://www.sigmaaldrich.com/US/en/product/aldrich/279692
POOL-00025909,InChI=1S/C5H3BrN2O2/c6-4-1-5(8(9)10)3-7-2-4/h1-3H,O=[N+]([O-])c1cncc(Br)c1,263.579792906447,False,['15862-30-3'],0.989180338,0,,,,$241.00/1 G,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/anv00040
POOL-00040736,InChI=1S/C5H3BrN2O2/c6-5-2-1-4(3-7-5)8(9)10/h1-3H,O=[N+]([O-])c1ccc(Br)nc1,246.32979290644693,False,['4487-59-6'],0.9893200967,0,"$33.60
Each/1 g",Check Availability,https://www.fishersci.com/shop/products/2-bromo-5-nitropyridine-98-thermo-scientific/AC357670010#4487-59-6,$29.60/1 G,"Available to ship on March 15, 2023
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/324833
POOL-00010283,InChI=1S/C5H3FN2O2/c6-4-1-2-5(7-3-4)8(9)10/h1-3H,O=[N+]([O-])c1ccc(F)cn1,246.32979290644693,False,['779345-37-8'],0.9927470316,0,,,,,,
POOL-00030519,InChI=1S/C5H3BrN2O2/c6-5-4(8(9)10)2-1-3-7-5/h1-3H,O=[N+]([O-])c1cccnc1Br,263.579792906447,False,['19755-53-4'],0.9983421733,0,,,,,,
POOL-00000686,"InChI=1S/C5H3BrF2N2/c6-3-1-9-5(4(7)8)10-2-3/h1-2,4H",FC(F)c1ncc(Br)cn1,211.3928650179568,False,['1780834-92-5'],0.9904432629,0,,,,$161.70/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/chemscenellc/ciah98850064?context=bbe
POOL-00001383,"InChI=1S/C5H3BrFNO3S/c6-5-4(2-1-3-8-5)11-12(7,9)10/h1-3H",O=S(=O)(F)Oc1cccnc1Br,380.03465170067625,False,['1888393-43-8'],0.987063616,0,,,,,,
POOL-00005543,InChI=1S/C5H3Br2NO2S/c1-10-4(9)2-3(6)11-5(7)8-2/h1H3,COC(=O)c1nc(Br)sc1Br,286.0098267951167,False,['914347-25-4'],0.9847739962,0,,,,,,
POOL-00030021,"InChI=1S/C5H5F3N2O/c1-10-4(11)2-3(9-10)5(6,7)8/h2H2,1H3",CN1N=C(C(F)(F)F)CC1=O,220.25764485869857,False,['1481-02-3'],0.9847481423,0,,,,$77.00/5 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/synthonixcorporation/sy3h6e4149c3?context=bbe
